,Perovskite,bandgap(eV),glass,ETL,ETL-2,"ETL 
thickness(um)",HTL,"HTL 
thickness(um)",meta,"Perovskite 
deposition
 procedure","Perovskite
 deposition
 method","Anti-solvent 
treatment","Precursor
 solution","Annealing
 temperature (°C) ","Annealing
 time (minutes) ",Jsc,Voc,FF,PCE,Article
64,MA0.25FA0.75PbI2.49Br0.51,,FTO,c-TiO4,mp-TiO4,31,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.6,0.906,0.6,10.1,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
65,Cs0.05MA0.2FA0.75PbI2.49Br0.51,,FTO,c-TiO5,mp-TiO5,32,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,17.9,0.913,0.52,8.5,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
66,Cs0.1MA0.15FA0.75PbI2.49Br0.51,,FTO,c-TiO4,mp-TiO4,31,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.7,1.049,0.75,16.3,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
67,Cs0.15MA0.1FA0.75PbI2.49Br0.51,,FTO,c-TiO4,mp-TiO4,31,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.1,1.06,0.75,16.8,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
68,Cs0.2MA0.05FA0.75PbI2.49Br0.51,,FTO,c-TiO4,mp-TiO4,31,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.4,1.054,0.74,15.9,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
69,Cs0.25FA0.75PbI2.49Br0.51,,FTO,c-TiO4,mp-TiO4,31,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.7,1.045,0.66,14.3,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
70,Cs0.21MA0.04FA0.75PbI3.32Br0.68,,FTO,c-TiO5,mp-TiO5,32,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,101.0,60.0,20.7,1.022,0.72,15.2,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
71,Cs0.04MA0.04FA0.92PbI3,,ITO,PTAA,,,BCP,25.0,Ag,two-step,spin,CB,DMF/DMSO,100.0,15.0,24.03,0.98,0.7495,17.62,"CHEN J, XU X, TANG X, et al. Highly Efficient and Thickness Insensitive Inverted Triple-Cation Perovskite Solar Cells Fabricated by Gas Pumping Method [J]. The Journal of Physical Chemistry Letters, 2021, 12(23): 5580-6."
72,Cs0.04MA0.04FA0.92PbI3,,ITO,PTAA,,,BCP,25.0,Ag,two-step,spin,GP,DMF/DMSO,100.0,15.0,24.79,1.05,0.8176,21.08,"CHEN J, XU X, TANG X, et al. Highly Efficient and Thickness Insensitive Inverted Triple-Cation Perovskite Solar Cells Fabricated by Gas Pumping Method [J]. The Journal of Physical Chemistry Letters, 2021, 12(23): 5580-6."
73,Cs0.05FA0.81MA0.14PbI2.55Br0.45,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.3,1.08,0.751,18.1,"M. E. O'Kane, J. A. Smith, T. I. Alanazi, E. J. Cassella, O. Game, S. van Meurs, D. G. Lidzey, ChemSusChem 2021, 14, 2537."
74,Cs0.05FA0.81MA0.14PbI2.55Br0.45,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMSO,130.0,10.0,20.7,1.05,0.745,16.6,"M. E. O'Kane, J. A. Smith, T. I. Alanazi, E. J. Cassella, O. Game, S. van Meurs, D. G. Lidzey, ChemSusChem 2021, 14, 2537."
75,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51 ,,FTO,c-TiO2,mp-TiO2,40,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,,,0.725,16.1,"Vesce, L., Stefanelli, M., Herterich, J.P., Castriotta, L.A., Kohlstädt, M., Würfel, U. and Di Carlo, A. (2021), Ambient Air Blade-Coating Fabrication of Stable Triple-Cation Perovskite Solar Modules by Green Solvent Quenching. Sol. RRL, 5: 2100073."
76,Cs0.05FA0.79MA0.15PbI2.45Br0.55,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.83,1.1,0.7762,18.38,"ALANAZI T I, GAME O S, SMITH J A, et al. Potassium iodide reduces the stability of triple-cation perovskite solar cells [J]. RSC Advances, 2020, 10(66): 40341-50."
77,Cs0.05FA0.79MA0.15PbI2.45Br0.55,,ITO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.61,1.09,0.6463,15.23,"ALANAZI T I, GAME O S, SMITH J A, et al. Potassium iodide reduces the stability of triple-cation perovskite solar cells [J]. RSC Advances, 2020, 10(66): 40341-50."
78,Cs0.175FA0.750MA0.075PbI2.64Br0.36,,ITO,PCBM,ZnO,,NiOx,,Ag,two-step,spin,HEA,DMF/DMSO,100.0,10.0,21.6,1.12,0.7905,19.2,"KANG Y-J, KWON S-N, CHO S-P, et al. Antisolvent Additive Engineering Containing Dual-Function Additive for Triple-Cation p–i–n Perovskite Solar Cells with over 20% PCE [J]. ACS Energy Letters, 2020, 5(8): 2535-45."
79,Cs0.175FA0.750MA0.075PbI2.64Br0.36,,ITO,PCBM,ZnO,,NiOx,,Ag,two-step,spin,,DMF/DMSO,100.0,10.0,21.3,1.06,0.7695,17.42,"KANG Y-J, KWON S-N, CHO S-P, et al. Antisolvent Additive Engineering Containing Dual-Function Additive for Triple-Cation p–i–n Perovskite Solar Cells with over 20% PCE [J]. ACS Energy Letters, 2020, 5(8): 2535-45."
80,CsFAMAPbI0.7Br0.3,,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,TL,DMF/DMSO,100.0,60.0,9.18,0.86,0.69,5.5,"Gogoi, B., Yerramilli, A., Luboowa, K.M. et al. Fabrication of triple cation perovskite solar cells using different post-spin coating anti-solvent treatments. J Mater Sci: Mater Electron 33, 21161–21171 (2022). "
81,CsFAMAPbI0.7Br0.3,,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,IPA,DMF/DMSO,100.0,60.0,11.34,0.74,0.58,4.9,"Gogoi, B., Yerramilli, A., Luboowa, K.M. et al. Fabrication of triple cation perovskite solar cells using different post-spin coating anti-solvent treatments. J Mater Sci: Mater Electron 33, 21161–21171 (2022). "
82,CsFAMAPbI0.7Br0.3,,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,EA,DMF/DMSO,100.0,60.0,24.34,0.92,0.68,15.5,"Gogoi, B., Yerramilli, A., Luboowa, K.M. et al. Fabrication of triple cation perovskite solar cells using different post-spin coating anti-solvent treatments. J Mater Sci: Mater Electron 33, 21161–21171 (2022). "
83,CsFAMAPbI0.7Br0.3,,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,CB,DMF/DMSO,100.0,60.0,23.44,0.89,0.61,13.0,"Gogoi, B., Yerramilli, A., Luboowa, K.M. et al. Fabrication of triple cation perovskite solar cells using different post-spin coating anti-solvent treatments. J Mater Sci: Mater Electron 33, 21161–21171 (2022). "
84,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO,100.0,45.0,22.73,1.107,0.72,18.12,"JIA J, SHI B, DONG J, et al. 1-ethyl-3-methylimidazolium chloride ionic liquid enhance planar triple-cation perovskite solar cell efficiency [J]. Materials Research Bulletin, 2023, 166: 112345."
85,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO/EMIMCL,100.0,45.0,24.4,1.185,0.745,21.54,"JIA J, SHI B, DONG J, et al. 1-ethyl-3-methylimidazolium chloride ionic liquid enhance planar triple-cation perovskite solar cell efficiency [J]. Materials Research Bulletin, 2023, 166: 112345."
86,CsFA0.92MA0.08Pb（I0.92Br0.08）3,,ITO,PCBM,,,PEDOT:PSS,,Al,two-step,spin,CB/OMN,DMF/DMSO,100.0,60.0,23.79,1.17,0.81,22.65,"LIU F, MA Y, ZHANG Y, et al. Oxyl-terminated melem nanoparticles as crystallization modulators and passivating anchors for high-performance perovskite solar cells [J]. Nano Energy, 2024, 121: 109220."
87,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,26.04,1.005,0.709,18.58,"La Ferrara, V.; De Maria, A.; Rametta, G. Green Anisole as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1"
88,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,ANI,DMF/DMSO,100.0,60.0,25.54,1.006,0.723,18.58,"La Ferrara, V.; De Maria, A.; Rametta, G. Green Anisole as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1"
89,Cs0.1MA0.153FA0.747PbI2.49Br0.51,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.79,0.984,0.818,19.15,"La Ferrara, V.; De Maria, A.; Rametta, G. Green Anisole as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1"
90,Cs0.1MA0.153FA0.747PbI2.49Br0.51,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,ANI,DMF/DMSO,100.0,60.0,25.42,1.049,0.758,20.21,"La Ferrara, V.; De Maria, A.; Rametta, G. Green Anisole as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1"
91,Cs0.05MA0.05FA0.9PbI3,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,25.32,1.122,0.8365,23.76,"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. "
92,Cs0.05MA0.05FA0.9PbI3,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO/DmmimCl,100.0,60.0,25.26,1.153,0.8398,24.46,"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. "
93,Cs0.05FA0.81MA0.14PbI2.55Br0.45,,ITO,SnO2-KCl,Al2O3,,spiro-MeOTAD,,Au,one-step,spin,,DMF/DMSO,120.0,10.0,24.1,1.16,0.72,20.12,"Tian, X., Zhang, S., Shen, Z., Zhang, B., Hong, Y., Liu, R., Liu, Y., Cao, R., Song, J., Li, H., Li, F. and Chen, C. (2024), Functional 1,3-DTu Additive in Perovskite Layer for Stable Triple-Cation Perovskite Solar Cells with Efficiency Exceeding 23%. Sol. RRL, 8: 2300810."
94,Cs0.05FA0.85MA0.15PbI2.55Br0.45,,ITO,PTAA,,,PCBM/BCP,,Ag,one-step,spin,EA,DMF/DMSO,100.0,60.0,23.36,1.04,0.7895,19.18,"CAO K, ZHU J, ZHU Y, et al. Managing Excess Lead Iodide with Ordered Distribution and Reduced Photoactivity via Chelating Ligands for Stable Inverted Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2023, 14(38): 8604-11."
95,Cs0.05FA0.7885MA0.1615 PbI2.49Br0.51,,FTO,TiO2,Y-TiO2,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,23.65,1.184,0.71,20.09,"JIANG Z, HE Z, MA S, et al. Effect of Yttrium-Incorporated TiO2 Electron Transport Layer on the Photovoltaic Performance of Triple-Cation Perovskite Solar Cells [J]. The Journal of Physical Chemistry C, 2023, 127(39): 19432-9."
96,Cs0.05FA0.7885MA0.1615 PbI2.49Br0.51,,FTO,TiO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,22.28,1.104,0.702,17.28,"JIANG Z, HE Z, MA S, et al. Effect of Yttrium-Incorporated TiO2 Electron Transport Layer on the Photovoltaic Performance of Triple-Cation Perovskite Solar Cells [J]. The Journal of Physical Chemistry C, 2023, 127(39): 19432-9."
97,Cs0.05FA0.915MA0.085PbI2.745Br0.255,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,20.6,1.084,0.625,14.0,"Rodriguez-Perez JJ, Mhamdi A, Torres J, Montes-Valenzuela I, Rivas JM, Esparza D, Contreras-Solorio DA. Ionic Mobility and Charge Carriers Recombination Analyzed in Triple Cation Perovskite Solar Cells. Coatings. 2023; 13(10):1673"
98,Cs0.05FA0.83MA0.17PbI2.49Br0.51,,FTO,c-TiO3,mp-TiO3,,spiro-MeOTAD,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,18.9,1.113,0.577,12.1,"Rodriguez-Perez JJ, Mhamdi A, Torres J, Montes-Valenzuela I, Rivas JM, Esparza D, Contreras-Solorio DA. Ionic Mobility and Charge Carriers Recombination Analyzed in Triple Cation Perovskite Solar Cells. Coatings. 2023; 13(10):1673"
99,Cs0.05FA0.745MA0.255PbI2.235Br0.765,,FTO,c-TiO4,mp-TiO4,,spiro-MeOTAD,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,18.56,1.016,0.6116,11.54,"Rodriguez-Perez JJ, Mhamdi A, Torres J, Montes-Valenzuela I, Rivas JM, Esparza D, Contreras-Solorio DA. Ionic Mobility and Charge Carriers Recombination Analyzed in Triple Cation Perovskite Solar Cells. Coatings. 2023; 13(10):1673"
100,FA0.45MA0.49Cs0.06PbI1.86Br0.96Cl0.18,1.8,FTO,SnO2,,,spiro-MeOTAD,,C,one-step,spin,,DMF/DMSO,100.0,30.0,12.1,1.05,0.49,7.2,"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023)."
101,FA0.45MA0.49Cs0.06PbI1.86Br0.96Cl0.18,1.8,FTO,SnO2,,,spiro-MeOTAD,,C,one-step,VAC,CB,DMF/DMSO,100.0,30.0,9.5,0.96,0.4,5.4,"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023)."
102,FA0.45MA0.49Cs0.06PbI1.86Br0.96Cl0.18,1.8,FTO,SnO2,,,spiro-MeOTAD,,C,one-step,VTA,CB,DMF/DMSO,100.0,30.0,13,1.05,0.51,8.6,"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023)."
103,FA0.95MA0.05PbBr0.06I2.94,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO,150.0,30.0,20.18,0.972,0.665,13.04,"El-naggar, A.M., Osman, M.M., Alanazi, A.Q. et al. Spectroscopic ellipsometry and solar cell performance of Cs-doped MA0.05FA0.95Pb(I0.98Br0.02)3 triple cation perovskite thin films for solar cell applications. Appl. Phys. A 128, 378 (2022)."
104,FA0.95MA0.05PbBr0.06I2.94CsI,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO,150.0,30.0,20.18,1.029,0.666,13.83,"El-naggar, A.M., Osman, M.M., Alanazi, A.Q. et al. Spectroscopic ellipsometry and solar cell performance of Cs-doped MA0.05FA0.95Pb(I0.98Br0.02)3 triple cation perovskite thin films for solar cell applications. Appl. Phys. A 128, 378 (2022)."
105,FA0.95MA0.05PbBr0.06I2.94CsI,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO,150.0,30.0,18.83,0.934,0.613,10.79,"El-naggar, A.M., Osman, M.M., Alanazi, A.Q. et al. Spectroscopic ellipsometry and solar cell performance of Cs-doped MA0.05FA0.95Pb(I0.98Br0.02)3 triple cation perovskite thin films for solar cell applications. Appl. Phys. A 128, 378 (2022)."
106,FA0.95MA0.05PbBr0.06I2.94CsI,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,one-step,spin,CB,DMF/DMSO,150.0,30.0,17.69,0.916,0.916,10.57,"El-naggar, A.M., Osman, M.M., Alanazi, A.Q. et al. Spectroscopic ellipsometry and solar cell performance of Cs-doped MA0.05FA0.95Pb(I0.98Br0.02)3 triple cation perovskite thin films for solar cell applications. Appl. Phys. A 128, 378 (2022)."
107,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,"21,86",1.0,0.77,16.9,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
108,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4,100.0,30.0,22.99,1.04,0.745,17.8,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
109,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/4F-PEAI/Pb(SCN)2,100.0,30.0,22.83,1.035,0.712,16.3,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
110,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,22.35,1.03,0.764,17.7,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
111,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,NiOx,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,21.82,0.87,0.783,14.8,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
112,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/Ga(AcAc)3,100.0,30.0,22.39,1.04,0.718,16.7,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
113,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2,100.0,30.0,22.92,1.08,0.781,19.2,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
114,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4,100.0,30.0,22.48,1.02,0.712,16.3,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
115,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/4F-PEAI/Pb(SCN)2,100.0,30.0,22.16,1.05,0.75,17.3,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
116,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/PA/4F-PEAI/Pb(SCN)2,100.0,30.0,21.65,1.03,0.725,16.5,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
117,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/Pb(SCN)2,100.0,30.0,21.93,1.02,0.802,18.2,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
118,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/MASCN,100.0,30.0,22.46,0.98,0.783,17.3,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
119,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2,100.0,30.0,22,1.05,0.766,17.7,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
120,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/Ga(AcAc)3,100.0,30.0,21.87,1.02,0.799,17.9,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
121,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:PF6,100.0,30.0,22.74,0.97,0.738,16.2,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
122,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/KSCN,100.0,30.0,22.54,1.02,0.803,18.5,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
123,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/Y6,100.0,30.0,20.1,0.99,0.68,13.6,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
124,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2/Ga(AcAc)3,100.0,30.0,22.06,1.07,0.798,18.7,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
125,Cs0.05MA0.08FA0.87PbI2.76Br0.24,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI,100.0,30.0,22.25,1.05,0.759,18.0,"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248."
