Article,Cs,FA,MA,Pb,I,Br,Perovskite,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,TiO2,,,spiro:Dopant-free,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,18.9,0.79,0.434,6.2
"Bishop, J.E., Read, C.D., Smith, J.A. et al. Fully Spray-Coated Triple-Cation Perovskite Solar Cells. Sci Rep 10, 6610 (2020). https://doi.org/10.1038/s41598-020-63674-5",0.05,0.81,0.14,1.0,2.55,0.45,Cs0.05FA0.81MA0.14PbI2.55Br0.45,1,,ITO,SnO2,,,spiro,,,,,,DMF/DMSO,,,22.5,1.11,0.78,19.4
"TAILOR N K, SENANAYAK S P, ABDI-JALEBI M, et al. Low-frequency carrier kinetics in triple cation perovskite solar cells probed by impedance and modulus spectroscopy [J]. Electrochimica Acta, 2021, 386: 138430.",0.06,0.79,0.15,1.0,2.55,0.45,Cs0.06FA0.79MA0.15PbI2.55Br0.45,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.95,1.121,0.78,20.0
"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24.",0.05,0.7885,0.1615,1.0,3.0,0.0,Cs0.05MA0.1615FA0.7885PbI3,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,21.67,0.82,0.6826,12.08
"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,20.62,1.05,0.7605,16.51
"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24.",0.05,0.7885,0.1615,1.0,1.95,1.05,Cs0.05MA0.1615FA0.7885PbI1.95Br1.05,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,17.17,1.09,0.7583,14.24
"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24.",0.05,0.7885,0.1615,1.0,1.5,1.5,Cs0.05MA0.1615FA0.7885PbI1.5Br1.5,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,15.05,1.12,0.6427,10.81
"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24.",0.05,0.7885,0.1615,1.0,0.9,2.1,Cs0.05MA0.1615FA0.7885PbI0.9Br2.1,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,10.52,1.13,0.576,6.88
"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24.",0.05,0.7885,0.1615,1.0,0.0,3.0,Cs0.05MA0.1615FA0.7885PbBr3,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,6.01,1.31,0.5524,4.36
"MUTLU A, YEŞIL T, KıYMAZ D, et al. Simultaneous Optimization of Charge Transport Properties in a Triple-Cation Perovskite Layer and Triple-Cation Perovskite/spiro Interface by Dual Passivation [J]. ACS Omega, 2022, 7(21): 17907-20.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,c-TiO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,60.0,21.6,1.112,0.733,17.6
"M. Othman, F. Zheng, A. Seeber, A. S. R. Chesman, A. D. Scully, K. P. Ghiggino, M. Gao, J. Etheridge, D. Angmo, Millimeter-Sized Clusters of Triple Cation Perovskite Enables Highly Efficient and Reproducible Roll-to-Roll Fabricated Inverted Perovskite Solar Cells. Adv. Funct. Mater. 2022, 32, 2110700.",0.07,0.79,0.14,1.0,2.49,0.51,Cs0.07FA0.79MA0.14PbI2.49Br0.51,0,,ITO,PCBM,,,PEDOT:PSS,,PEIE/Au,R2R,,,,,,21.7,0.93,0.49,10.1
"HEO Y-J, KIM J-E, WEERASINGHE H, et al. Printing-friendly sequential deposition via intra-additive approach for roll-to-roll process of perovskite solar cells [J]. Nano Energy, 2017, 41: 443-51.",0.0,0.4,0.6,1.0,3.0,0.0,FA0.4MA0.6PbI3,1,,TCO,ZnO,,,PEDOT:PSS,,Ag,two-step,R2R,CB,,,,19.6,1.04,0.538,11.0
"HEO Y-J, KIM J-E, WEERASINGHE H, et al. Printing-friendly sequential deposition via intra-additive approach for roll-to-roll process of perovskite solar cells [J]. Nano Energy, 2017, 41: 443-51.",0.0,0.4,0.6,1.0,3.0,0.0,FA0.4MA0.6PbI3,1,,TCO,ZnO,,,P3HT,,Ag,two-step,R2R,CB,,,,20.6,1.05,0.536,11.6
"Y. Y. Kim, T.-Y. Yang, R. Suhonen, M. Välimäki, T. Maaninen, A. Kemppainen, N. J. Jeon, J. Seo, Adv. Sci. 2019, 6, 1802094. https://doi.org/10.1002/advs.201802094",0.0,0.0,1.0,1.0,3.0,0.0,MAPbI3,1,,ITO,SnO2,,20.0,spiro,220.0,Ag,one-step,spin,CB,DMF/DMSO,100.0,10.0,21,1.05,0.723,16.1
"Y. Y. Kim, T.-Y. Yang, R. Suhonen, M. Välimäki, T. Maaninen, A. Kemppainen, N. J. Jeon, J. Seo, Adv. Sci. 2019, 6, 1802094. https://doi.org/10.1002/advs.201802094",0.0,0.0,1.0,1.0,3.0,0.0,MAPbI3,1,,ITO,SnO2,,20.0,spiro,220.0,Ag,two-step,spin,CB,DMF/DMSO,100.0,10.0,20.1,1.05,0.688,14.6
"Y. Y. Kim, T.-Y. Yang, R. Suhonen, M. Välimäki, T. Maaninen, A. Kemppainen, N. J. Jeon, J. Seo, Adv. Sci. 2019, 6, 1802094. https://doi.org/10.1002/advs.201802094",0.0,0.0,1.0,1.0,3.0,0.0,MAPbI3,1,,ITO,SnO2,,20.0,spiro,220.0,Ag,two-step,R2R,CB,DMF/DMSO,100.0,10.0,15.5,0.83,0.607,7.8
"Y. Galagan, F. Di Giacomo, H. Gorter, G. Kirchner, I. de Vries, R. Andriessen, P. Groen, Adv. Energy Mater. 2018, 8, 1801935. ",0.15,0.85,0.0,1.0,2.55,0.45,Cs0.15FA0.85PbI2.55Br0.45,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMSO/2BE,100.0,30.0,15.2,1.029,0.715,15.2
"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020).",0.0,0.95,0.05,1.0,2.85,0.15,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,1,,ITO,SnO2,,,P3HT,,Au,two-step,R2R,tBuOH/EA,DMF/DMSO,120.0,30.0,20.9,0.96,0.681,13.8
"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020).",0.0,0.95,0.05,1.0,2.85,0.15,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,tBuOH/EA,DMF/DMSO,120.0,30.0,22,1.02,0.744,16.7
"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020).",0.0,0.95,0.05,1.0,2.85,0.15,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,1,,ITO,bl-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,120.0,30.0,24.8,1.17,0.81,23.5
"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020).",0.0,0.95,0.05,1.0,2.85,0.15,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,120.0,30.0,23.4,1.13,0.837,22.2
"J.-E. Kim, S.-S. Kim, C. Zuo, M. Gao, D. Vak, D.-Y. Kim, Humidity-Tolerant Roll-to-Roll Fabrication of Perovskite Solar Cells via Polymer-Additive-Assisted Hot Slot Die Deposition. Adv. Funct. Mater. 2019, 29, 1809194.",0.02,0.38,0.6,1.0,2.975,0.025,MA0.6FA0.38Cs0.02PbI2.975Br0.025 ,0,,ITO,PCBM,,,PEDOT:PSS,,PEIE/Ag,one-step,coat,,DMF,100.0,10.0,21.35,1.0,0.6865,14.66
"J.-E. Kim, S.-S. Kim, C. Zuo, M. Gao, D. Vak, D.-Y. Kim, Humidity-Tolerant Roll-to-Roll Fabrication of Perovskite Solar Cells via Polymer-Additive-Assisted Hot Slot Die Deposition. Adv. Funct. Mater. 2019, 29, 1809194.",0.02,0.38,0.6,1.0,2.975,0.025,MA0.6FA0.38Cs0.02PbI2.975Br0.025 ,0,,ITO,PCBM,,,PEDOT:PSS,,PEIE/Ag,one-step,R2R,,DMF,100.0,10.0,21.75,0.98,0.5476,11.67
"J.-E. Kim, S.-S. Kim, C. Zuo, M. Gao, D. Vak, D.-Y. Kim, Humidity-Tolerant Roll-to-Roll Fabrication of Perovskite Solar Cells via Polymer-Additive-Assisted Hot Slot Die Deposition. Adv. Funct. Mater. 2019, 29, 1809194.",0.02,0.38,0.6,1.0,2.975,0.026,MA0.6FA0.38Cs0.02PbI2.975Br0.026 ,0,,ITO,PCBM,,,PEDOT:PSS,,Ca/Al,one-step,R2R,,DMF,100.0,10.0,17.59,0.94,0.7418,12.26
"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95.",0.05,0.7885,0.1615,1.0,2.54,0.51,Cs0.05I0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.129,0.767,20.6
"ABDULRAHIM S M, AHMAD Z, MEHMOOD M Q, et al. Effect of illumination and applied potential on the electrochemical impedance spectra in triple cation (FA/MA/Cs) 3D and 2D/3D perovskite solar cells [J]. Journal of Electroanalytical Chemistry, 2021, 902: 115800.",0.1,0.76,0.14,1.0,2.58,0.42,Cs0.1FA0.76MA0.14PbI2.58Br0.42,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.18,1.07,0.783,19.01
"E. M. Tennyson, M. Abdi-Jalebi, K. Ji, J. L. Garrett, C. Gong, A. A. Pawlicki, O. S. Ovchinnikova, J. N. Munday, S. D. Stranks, M. S. Leite, Correlated Electrical and Chemical Nanoscale Properties in Potassium-Passivated, Triple-Cation Perovskite Solar Cells. Adv. Mater. Interfaces 2020, 7, 2000515.",0.33,0.33,0.33,1.0,2.4,0.6,Cs0.33FA0.33MA0.33PbI2.4Br0.6,1,,FTO,c-TiO2,mp-TiO2,40.0,spiro,50.0,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.43,1.05,0.48,9.3
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.0,0.83,0.17,1.0,2.49,0.51,MA0.17FA0.83PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.1,1.071,0.71,16.8
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.7,1.109,0.74,18.6
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.1,0.747,0.153,1.0,2.49,0.51,Cs0.1MA0.153FA0.747PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22,1.13,0.77,19.1
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.15,0.7055,0.1445,1.0,2.49,0.51,Cs0.15MA0.1445FA0.7055PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,19.4,1.088,0.69,14.6
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.0,0.75,0.25,1.0,2.49,0.51,MA0.25FA0.75PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.6,0.906,0.6,10.1
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.05,0.75,0.2,1.0,2.49,0.51,Cs0.05MA0.2FA0.75PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,32.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,17.9,0.913,0.52,8.5
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.1,0.75,0.15,1.0,2.49,0.51,Cs0.1MA0.15FA0.75PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.7,1.049,0.75,16.3
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.15,0.75,0.1,1.0,2.49,0.51,Cs0.15MA0.1FA0.75PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.1,1.06,0.75,16.8
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.2,0.75,0.05,1.0,2.49,0.51,Cs0.2MA0.05FA0.75PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.4,1.054,0.74,15.9
"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97.",0.25,0.75,0.0,1.0,2.49,0.51,Cs0.25FA0.75PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.7,1.045,0.66,14.3
"CHEN J, XU X, TANG X, et al. Highly Efficient and Thickness Insensitive Inverted Triple-Cation Perovskite Solar Cells Fabricated by Gas Pumping Method [J]. The Journal of Physical Chemistry Letters, 2021, 12(23): 5580-6.",0.04,0.92,0.04,1.0,3.0,0.0,Cs0.04MA0.04FA0.92PbI3,0,,ITO,BCP,,,PTAA,25.0,Ag,two-step,spin,CB,DMF/DMSO,100.0,15.0,24.03,0.98,0.7495,17.62
"CHEN J, XU X, TANG X, et al. Highly Efficient and Thickness Insensitive Inverted Triple-Cation Perovskite Solar Cells Fabricated by Gas Pumping Method [J]. The Journal of Physical Chemistry Letters, 2021, 12(23): 5580-6.",0.04,0.92,0.04,1.0,3.0,0.0,Cs0.04MA0.04FA0.92PbI3,0,,ITO,BCP,,,PTAA,25.0,Ag,two-step,spin,GP,DMF/DMSO,100.0,15.0,24.79,1.05,0.8176,21.08
"M. E. O'Kane, J. A. Smith, T. I. Alanazi, E. J. Cassella, O. Game, S. van Meurs, D. G. Lidzey, ChemSusChem 2021, 14, 2537.",0.05,0.81,0.14,1.0,2.55,0.45,Cs0.05FA0.81MA0.14PbI2.55Br0.45,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.3,1.08,0.751,18.1
"M. E. O'Kane, J. A. Smith, T. I. Alanazi, E. J. Cassella, O. Game, S. van Meurs, D. G. Lidzey, ChemSusChem 2021, 14, 2537.",0.05,0.81,0.14,1.0,2.55,0.45,Cs0.05FA0.81MA0.14PbI2.55Br0.45,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMSO,130.0,10.0,20.7,1.05,0.745,16.6
"Vesce, L., Stefanelli, M., Herterich, J.P., Castriotta, L.A., Kohlstädt, M., Würfel, U. and Di Carlo, A. (2021), Ambient Air Blade-Coating Fabrication of Stable Triple-Cation Perovskite Solar Modules by Green Solvent Quenching. Sol. RRL, 5: 2100073.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51 ,1,,FTO,c-TiO2,mp-TiO2,40.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,,,0.725,16.1
"ALANAZI T I, GAME O S, SMITH J A, et al. Potassium iodide reduces the stability of triple-cation perovskite solar cells [J]. RSC Advances, 2020, 10(66): 40341-50.",0.05,0.79,0.15,1.0,2.45,0.55,Cs0.05FA0.79MA0.15PbI2.45Br0.55,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.83,1.1,0.7762,18.38
"ALANAZI T I, GAME O S, SMITH J A, et al. Potassium iodide reduces the stability of triple-cation perovskite solar cells [J]. RSC Advances, 2020, 10(66): 40341-50.",0.05,0.79,0.15,1.0,2.45,0.55,Cs0.05FA0.79MA0.15PbI2.45Br0.55,1,,ITO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.61,1.09,0.6463,15.23
"KANG Y-J, KWON S-N, CHO S-P, et al. Antisolvent Additive Engineering Containing Dual-Function Additive for Triple-Cation p–i–n Perovskite Solar Cells with over 20% PCE [J]. ACS Energy Letters, 2020, 5(8): 2535-45.",0.175,0.75,0.075,1.0,2.64,0.36,Cs0.175FA0.750MA0.075PbI2.64Br0.36,0,,ITO,PCBM,ZnO,,NiOx,,Ag,two-step,spin,HEA,DMF/DMSO,100.0,10.0,21.6,1.12,0.7905,19.2
"KANG Y-J, KWON S-N, CHO S-P, et al. Antisolvent Additive Engineering Containing Dual-Function Additive for Triple-Cation p–i–n Perovskite Solar Cells with over 20% PCE [J]. ACS Energy Letters, 2020, 5(8): 2535-45.",0.175,0.75,0.075,1.0,2.64,0.36,Cs0.175FA0.750MA0.075PbI2.64Br0.36,0,,ITO,PCBM,ZnO,,NiOx,,Ag,two-step,spin,,DMF/DMSO,100.0,10.0,21.3,1.06,0.7695,17.42
"JIA J, SHI B, DONG J, et al. 1-ethyl-3-methylimidazolium chloride ionic liquid enhance planar triple-cation perovskite solar cell efficiency [J]. Materials Research Bulletin, 2023, 166: 112345.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,45.0,22.73,1.107,0.72,18.12
"JIA J, SHI B, DONG J, et al. 1-ethyl-3-methylimidazolium chloride ionic liquid enhance planar triple-cation perovskite solar cell efficiency [J]. Materials Research Bulletin, 2023, 166: 112345.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO/EMIMCL,100.0,45.0,24.4,1.185,0.745,21.54
"La Ferrara, V.; De Maria, A.; Rametta, G. Green ANI as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,26.04,1.005,0.709,18.58
"La Ferrara, V.; De Maria, A.; Rametta, G. Green ANI as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,ANI,DMF/DMSO,100.0,60.0,25.54,1.006,0.723,18.58
"La Ferrara, V.; De Maria, A.; Rametta, G. Green ANI as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1",0.1,0.747,0.153,1.0,2.49,0.51,Cs0.1MA0.153FA0.747PbI2.49Br0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.79,0.984,0.818,19.15
"La Ferrara, V.; De Maria, A.; Rametta, G. Green ANI as Antisolvent in Planar Triple Cation Perovskite Solar Cells with Varying Cesium Concentration. Preprints 2023, 2023121939. https://doi.org/10.20944/preprints202312.1939.v1",0.1,0.747,0.153,1.0,2.49,0.51,Cs0.1MA0.153FA0.747PbI2.49Br0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,ANI,DMF/DMSO,100.0,60.0,25.42,1.049,0.758,20.21
"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. ",0.05,0.9,0.05,1.0,3.0,0.0,Cs0.05MA0.05FA0.9PbI3,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,25.32,1.122,0.8365,23.76
"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. ",0.05,0.9,0.05,1.0,3.0,0.0,Cs0.05MA0.05FA0.9PbI3,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO/DmmimCl,100.0,60.0,25.26,1.153,0.8398,24.46
"Tian, X., Zhang, S., Shen, Z., Zhang, B., Hong, Y., Liu, R., Liu, Y., Cao, R., Song, J., Li, H., Li, F. and Chen, C. (2024), Functional 1,3-DTu Additive in Perovskite Layer for Stable Triple-Cation Perovskite Solar Cells with Efficiency Exceeding 23%. Sol. RRL, 8: 2300810.",0.05,0.81,0.14,1.0,2.55,0.45,Cs0.05FA0.81MA0.14PbI2.55Br0.45,1,,ITO,SnO2-KCl,Al2O3,,spiro,,Au,one-step,spin,,DMF/DMSO,120.0,10.0,24.1,1.16,0.72,20.12
"CAO K, ZHU J, ZHU Y, et al. Managing Excess Lead Iodide with Ordered Distribution and Reduced Photoactivity via Chelating Ligands for Stable Inverted Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2023, 14(38): 8604-11.",0.05,0.85,0.15,1.0,2.55,0.45,Cs0.05FA0.85MA0.15PbI2.55Br0.45,0,,ITO,PCBM,BCP,,PTAA,,Ag,one-step,spin,EA,DMF/DMSO,100.0,60.0,23.36,1.04,0.7895,19.18
"JIANG Z, HE Z, MA S, et al. Effect of Yttrium-Incorporated TiO2 Electron Transport Layer on the Photovoltaic Performance of Triple-Cation Perovskite Solar Cells [J]. The Journal of Physical Chemistry C, 2023, 127(39): 19432-9.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615 PbI2.49Br0.51,1,,FTO,TiO2,Y-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,23.65,1.184,0.71,20.09
"JIANG Z, HE Z, MA S, et al. Effect of Yttrium-Incorporated TiO2 Electron Transport Layer on the Photovoltaic Performance of Triple-Cation Perovskite Solar Cells [J]. The Journal of Physical Chemistry C, 2023, 127(39): 19432-9.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615 PbI2.49Br0.51,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,22.28,1.104,0.702,17.28
"Rodriguez-Perez JJ, Mhamdi A, Torres J, Montes-Valenzuela I, Rivas JM, Esparza D, Contreras-Solorio DA. Ionic Mobility and Charge Carriers Recombination Analyzed in Triple Cation Perovskite Solar Cells. Coatings. 2023; 13(10):1673",0.05,0.915,0.085,1.0,2.745,0.255,Cs0.05FA0.915MA0.085PbI2.745Br0.255,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,20.6,1.084,0.625,14.0
